"X.4","X.3","X.2","X.1","X","Barrio","Area","Population","Men","Women","Renda","Density"
70,70,70,70,70,"santos_dumont",0.13,1850,866,984,682.94,14230.7692307692
71,71,71,71,71,"santos_reis",0.09,1049,483,566,451.47,11655.5555555556
72,72,72,72,72,"sao_benedito",0.2,2789,1338,1451,447.9,13945
73,73,73,73,73,"sao_cristovao",0.42,4182,2026,2156,927.64,9957.14285714286
74,74,74,74,74,"sao_jose",0.56,4480,2190,2290,516.93,8000
75,75,75,75,75,"sao_pedro",0.4,4294,2042,2252,570.89,10735
76,76,76,76,76,"seguranca_lar",0.06,550,263,287,1238.86,9166.66666666667
77,77,77,77,77,"solon_borges",0.07,1523,706,817,1121.1,21757.1428571429
78,78,78,78,78,"tabuazeiro",1.29,6496,3118,3378,839.29,5035.65891472868
79,79,79,79,79,"universitario",0.3,918,459,459,1092.32,3060
80,80,80,80,80,"vila_rubim",0.15,1430,667,763,897.74,9533.33333333333
